year,region,species,population
2013,Somali,Total Pullets Hybrid,0
2014,Somali,Total Pullets Hybrid,0
2015,Somali,Total Pullets Hybrid,0
2016,Somali,Total Pullets Hybrid,0
2017,Somali,Total Pullets Hybrid,0
2018,Somali,Total Pullets Hybrid,0
2019,Somali,Total Pullets Hybrid,337
2020,Somali,Total Pullets Hybrid,0
2003,SNNPR,Total Pullets Hybrid,0
2004,SNNPR,Total Pullets Hybrid,0
2005,SNNPR,Total Pullets Hybrid,9214
2006,SNNPR,Total Pullets Hybrid,6917
2007,SNNPR,Total Pullets Hybrid,12982
2008,SNNPR,Total Pullets Hybrid,11463
2009,SNNPR,Total Pullets Hybrid,8365
2010,SNNPR,Total Pullets Hybrid,11557
2011,SNNPR,Total Pullets Hybrid,10479
2012,SNNPR,Total Pullets Hybrid,13991
2013,SNNPR,Total Pullets Hybrid,15286
2014,SNNPR,Total Pullets Hybrid,17943
2015,SNNPR,Total Pullets Hybrid,38024
2016,SNNPR,Total Pullets Hybrid,135111
2017,SNNPR,Total Pullets Hybrid,113998
2018,SNNPR,Total Pullets Hybrid,211239
2019,SNNPR,Total Pullets Hybrid,179658
2020,SNNPR,Total Pullets Hybrid,282528
2003,Tigray,Total Pullets Hybrid,0
2004,Tigray,Total Pullets Hybrid,0
2005,Tigray,Total Pullets Hybrid,39028
2006,Tigray,Total Pullets Hybrid,42065
2007,Tigray,Total Pullets Hybrid,43946
2008,Tigray,Total Pullets Hybrid,45306
2009,Tigray,Total Pullets Hybrid,31055
2010,Tigray,Total Pullets Hybrid,33861
2011,Tigray,Total Pullets Hybrid,43782
2012,Tigray,Total Pullets Hybrid,46744
2013,Tigray,Total Pullets Hybrid,45866
2014,Tigray,Total Pullets Hybrid,96700
2015,Tigray,Total Pullets Hybrid,83957
2016,Tigray,Total Pullets Hybrid,72229
2017,Tigray,Total Pullets Hybrid,98840
2018,Tigray,Total Pullets Hybrid,62959
2019,Tigray,Total Pullets Hybrid,104128
2020,Tigray,Total Pullets Hybrid,104128
2003,Addis Ababa,Total Nonlaying Hens Hybrid,0
2004,Addis Ababa,Total Nonlaying Hens Hybrid,0
2005,Addis Ababa,Total Nonlaying Hens Hybrid,0
2006,Addis Ababa,Total Nonlaying Hens Hybrid,0
2007,Addis Ababa,Total Nonlaying Hens Hybrid,0
2008,Addis Ababa,Total Nonlaying Hens Hybrid,0
2009,Addis Ababa,Total Nonlaying Hens Hybrid,0
2010,Addis Ababa,Total Nonlaying Hens Hybrid,0
2011,Addis Ababa,Total Nonlaying Hens Hybrid,0
2012,Addis Ababa,Total Nonlaying Hens Hybrid,0
2013,Addis Ababa,Total Nonlaying Hens Hybrid,0
2014,Addis Ababa,Total Nonlaying Hens Hybrid,0
2015,Addis Ababa,Total Nonlaying Hens Hybrid,0
2016,Addis Ababa,Total Nonlaying Hens Hybrid,0
2017,Addis Ababa,Total Nonlaying Hens Hybrid,0
2018,Addis Ababa,Total Nonlaying Hens Hybrid,0
2010,Addis Ababa,Total Nonlaying Hens Hybrid,0
2020,Addis Ababa,Total Nonlaying Hens Hybrid,0
2003,Afar,Total Nonlaying Hens Hybrid,0
2004,Afar,Total Nonlaying Hens Hybrid,0
2005,Afar,Total Nonlaying Hens Hybrid,0
2006,Afar,Total Nonlaying Hens Hybrid,0
2007,Afar,Total Nonlaying Hens Hybrid,0
2008,Afar,Total Nonlaying Hens Hybrid,0
2009,Afar,Total Nonlaying Hens Hybrid,0
2010,Afar,Total Nonlaying Hens Hybrid,0
2011,Afar,Total Nonlaying Hens Hybrid,0
2012,Afar,Total Nonlaying Hens Hybrid,0
2013,Afar,Total Nonlaying Hens Hybrid,0
2014,Afar,Total Nonlaying Hens Hybrid,0
2015,Afar,Total Nonlaying Hens Hybrid,0
2016,Afar,Total Nonlaying Hens Hybrid,0
2017,Afar,Total Nonlaying Hens Hybrid,0
2018,Afar,Total Nonlaying Hens Hybrid,0
2019,Afar,Total Nonlaying Hens Hybrid,0
2020,Afar,Total Nonlaying Hens Hybrid,0
2003,Amhara,Total Nonlaying Hens Hybrid,0
2004,Amhara,Total Nonlaying Hens Hybrid,0
2005,Amhara,Total Nonlaying Hens Hybrid,8378
2006,Amhara,Total Nonlaying Hens Hybrid,11249
2007,Amhara,Total Nonlaying Hens Hybrid,12125
2008,Amhara,Total Nonlaying Hens Hybrid,9242
2009,Amhara,Total Nonlaying Hens Hybrid,7232
2010,Amhara,Total Nonlaying Hens Hybrid,12663
2011,Amhara,Total Nonlaying Hens Hybrid,13327
2012,Amhara,Total Nonlaying Hens Hybrid,12639
2013,Amhara,Total Nonlaying Hens Hybrid,8612
2014,Amhara,Total Nonlaying Hens Hybrid,11342
2015,Amhara,Total Nonlaying Hens Hybrid,8438
2016,Amhara,Total Nonlaying Hens Hybrid,19545
2017,Amhara,Total Nonlaying Hens Hybrid,0
2018,Amhara,Total Nonlaying Hens Hybrid,26157
2019,Amhara,Total Nonlaying Hens Hybrid,71560
2020,Amhara,Total Nonlaying Hens Hybrid,49738
2003,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2004,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2005,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2006,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2007,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2008,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2009,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2010,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2011,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2012,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2013,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2014,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2015,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2016,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2017,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2018,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2019,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2020,Benishangul Gumz,Total Nonlaying Hens Hybrid,0
2003,Dire Dawa,Total Nonlaying Hens Hybrid,0
2004,Dire Dawa,Total Nonlaying Hens Hybrid,0
2005,Dire Dawa,Total Nonlaying Hens Hybrid,0
2006,Dire Dawa,Total Nonlaying Hens Hybrid,0
2007,Dire Dawa,Total Nonlaying Hens Hybrid,0
2008,Dire Dawa,Total Nonlaying Hens Hybrid,0
2009,Dire Dawa,Total Nonlaying Hens Hybrid,0
2010,Dire Dawa,Total Nonlaying Hens Hybrid,0
2011,Dire Dawa,Total Nonlaying Hens Hybrid,0
2012,Dire Dawa,Total Nonlaying Hens Hybrid,0
2013,Dire Dawa,Total Nonlaying Hens Hybrid,0
2014,Dire Dawa,Total Nonlaying Hens Hybrid,0
2015,Dire Dawa,Total Nonlaying Hens Hybrid,0
2016,Dire Dawa,Total Nonlaying Hens Hybrid,0
2017,Dire Dawa,Total Nonlaying Hens Hybrid,0
2018,Dire Dawa,Total Nonlaying Hens Hybrid,0
2019,Dire Dawa,Total Nonlaying Hens Hybrid,0
2019,Dire Dawa,Total Nonlaying Hens Hybrid,0
2020,Dire Dawa,Total Nonlaying Hens Hybrid,0
2003,Gambela,Total Nonlaying Hens Hybrid,0
2004,Gambela,Total Nonlaying Hens Hybrid,0
2005,Gambela,Total Nonlaying Hens Hybrid,0
2006,Gambela,Total Nonlaying Hens Hybrid,0
2007,Gambela,Total Nonlaying Hens Hybrid,0
2008,Gambela,Total Nonlaying Hens Hybrid,0
2009,Gambela,Total Nonlaying Hens Hybrid,0
2010,Gambela,Total Nonlaying Hens Hybrid,0
2011,Gambela,Total Nonlaying Hens Hybrid,0
2012,Gambela,Total Nonlaying Hens Hybrid,0
2013,Gambela,Total Nonlaying Hens Hybrid,0
2014,Gambela,Total Nonlaying Hens Hybrid,0
2015,Gambela,Total Nonlaying Hens Hybrid,0
2016,Gambela,Total Nonlaying Hens Hybrid,0
2017,Gambela,Total Nonlaying Hens Hybrid,0
2018,Gambela,Total Nonlaying Hens Hybrid,0
2019,Gambela,Total Nonlaying Hens Hybrid,0
2020,Gambela,Total Nonlaying Hens Hybrid,0
2003,Harari,Total Nonlaying Hens Hybrid,0
2004,Harari,Total Nonlaying Hens Hybrid,0
2005,Harari,Total Nonlaying Hens Hybrid,0
2006,Harari,Total Nonlaying Hens Hybrid,0
2007,Harari,Total Nonlaying Hens Hybrid,0
2008,Harari,Total Nonlaying Hens Hybrid,0
2009,Harari,Total Nonlaying Hens Hybrid,0
2010,Harari,Total Nonlaying Hens Hybrid,0
2011,Harari,Total Nonlaying Hens Hybrid,0
2012,Harari,Total Nonlaying Hens Hybrid,0
2013,Harari,Total Nonlaying Hens Hybrid,0
2014,Harari,Total Nonlaying Hens Hybrid,0
2015,Harari,Total Nonlaying Hens Hybrid,0
2016,Harari,Total Nonlaying Hens Hybrid,0
2017,Harari,Total Nonlaying Hens Hybrid,0
2018,Harari,Total Nonlaying Hens Hybrid,0
2019,Harari,Total Nonlaying Hens Hybrid,0
2019,Harari,Total Nonlaying Hens Hybrid,0
2020,Harari,Total Nonlaying Hens Hybrid,0
2003,Oromoa,Total Nonlaying Hens Hybrid,0
2004,Oromoa,Total Nonlaying Hens Hybrid,0
2005,Oromoa,Total Nonlaying Hens Hybrid,18390
2006,Oromoa,Total Nonlaying Hens Hybrid,15324
2007,Oromoa,Total Nonlaying Hens Hybrid,9439
2008,Oromoa,Total Nonlaying Hens Hybrid,15277
2009,Oromoa,Total Nonlaying Hens Hybrid,10710
2010,Oromoa,Total Nonlaying Hens Hybrid,13402
2011,Oromoa,Total Nonlaying Hens Hybrid,12810
2012,Oromoa,Total Nonlaying Hens Hybrid,10041
2013,Oromoa,Total Nonlaying Hens Hybrid,8679
2014,Oromoa,Total Nonlaying Hens Hybrid,10337
2015,Oromoa,Total Nonlaying Hens Hybrid,8640
2016,Oromoa,Total Nonlaying Hens Hybrid,10439
2017,Oromoa,Total Nonlaying Hens Hybrid,19918
2018,Oromoa,Total Nonlaying Hens Hybrid,24238
2019,Oromoa,Total Nonlaying Hens Hybrid,81554
2020,Oromoa,Total Nonlaying Hens Hybrid,128546
2003,Somali,Total Nonlaying Hens Hybrid,0
2004,Somali,Total Nonlaying Hens Hybrid,0
2005,Somali,Total Nonlaying Hens Hybrid,0
2006,Somali,Total Nonlaying Hens Hybrid,0
2007,Somali,Total Nonlaying Hens Hybrid,0
2008,Somali,Total Nonlaying Hens Hybrid,0
2009,Somali,Total Nonlaying Hens Hybrid,0
2010,Somali,Total Nonlaying Hens Hybrid,0
2011,Somali,Total Nonlaying Hens Hybrid,0
2012,Somali,Total Nonlaying Hens Hybrid,0
2013,Somali,Total Nonlaying Hens Hybrid,0
2014,Somali,Total Nonlaying Hens Hybrid,0
2015,Somali,Total Nonlaying Hens Hybrid,0
2016,Somali,Total Nonlaying Hens Hybrid,0
2017,Somali,Total Nonlaying Hens Hybrid,0
2018,Somali,Total Nonlaying Hens Hybrid,0
2019,Somali,Total Nonlaying Hens Hybrid,0
2020,Somali,Total Nonlaying Hens Hybrid,0
2003,SNNPR,Total Nonlaying Hens Hybrid,0
2004,SNNPR,Total Nonlaying Hens Hybrid,0
2005,SNNPR,Total Nonlaying Hens Hybrid,1739
2006,SNNPR,Total Nonlaying Hens Hybrid,0
2007,SNNPR,Total Nonlaying Hens Hybrid,3512
2008,SNNPR,Total Nonlaying Hens Hybrid,2480
2009,SNNPR,Total Nonlaying Hens Hybrid,0
2010,SNNPR,Total Nonlaying Hens Hybrid,0
2011,SNNPR,Total Nonlaying Hens Hybrid,4590
2012,SNNPR,Total Nonlaying Hens Hybrid,0
2013,SNNPR,Total Nonlaying Hens Hybrid,3371
2014,SNNPR,Total Nonlaying Hens Hybrid,0
2015,SNNPR,Total Nonlaying Hens Hybrid,2622
2016,SNNPR,Total Nonlaying Hens Hybrid,22104
2017,SNNPR,Total Nonlaying Hens Hybrid,16271
2018,SNNPR,Total Nonlaying Hens Hybrid,18264
2019,SNNPR,Total Nonlaying Hens Hybrid,49146
2020,SNNPR,Total Nonlaying Hens Hybrid,62103
2003,Tigray,Total Nonlaying Hens Hybrid,0
2004,Tigray,Total Nonlaying Hens Hybrid,0
2005,Tigray,Total Nonlaying Hens Hybrid,13426
2006,Tigray,Total Nonlaying Hens Hybrid,11449
2007,Tigray,Total Nonlaying Hens Hybrid,28304
2008,Tigray,Total Nonlaying Hens Hybrid,16605
2009,Tigray,Total Nonlaying Hens Hybrid,13427
2010,Tigray,Total Nonlaying Hens Hybrid,16508
2011,Tigray,Total Nonlaying Hens Hybrid,14308
2012,Tigray,Total Nonlaying Hens Hybrid,5755
2013,Tigray,Total Nonlaying Hens Hybrid,0
2014,Tigray,Total Nonlaying Hens Hybrid,17038
2015,Tigray,Total Nonlaying Hens Hybrid,22206
2016,Tigray,Total Nonlaying Hens Hybrid,11241
2017,Tigray,Total Nonlaying Hens Hybrid,12663
2018,Tigray,Total Nonlaying Hens Hybrid,25533
2019,Tigray,Total Nonlaying Hens Hybrid,45758
2020,Tigray,Total Nonlaying Hens Hybrid,45758
2003,Addis Ababa,Total Chicks Hybrid,0
2004,Addis Ababa,Total Chicks Hybrid,0
2005,Addis Ababa,Total Chicks Hybrid,0
2006,Addis Ababa,Total Chicks Hybrid,0
2007,Addis Ababa,Total Chicks Hybrid,0
2008,Addis Ababa,Total Chicks Hybrid,0
2009,Addis Ababa,Total Chicks Hybrid,0
2010,Addis Ababa,Total Chicks Hybrid,0
2011,Addis Ababa,Total Chicks Hybrid,0
2012,Addis Ababa,Total Chicks Hybrid,0
2013,Addis Ababa,Total Chicks Hybrid,0
2014,Addis Ababa,Total Chicks Hybrid,0
2015,Addis Ababa,Total Chicks Hybrid,0
2016,Addis Ababa,Total Chicks Hybrid,0
2017,Addis Ababa,Total Chicks Hybrid,0
2018,Addis Ababa,Total Chicks Hybrid,0
2010,Addis Ababa,Total Chicks Hybrid,0
2020,Addis Ababa,Total Chicks Hybrid,0
2003,Afar,Total Chicks Hybrid,0
2004,Afar,Total Chicks Hybrid,0
2005,Afar,Total Chicks Hybrid,0
2006,Afar,Total Chicks Hybrid,0
2007,Afar,Total Chicks Hybrid,0
2008,Afar,Total Chicks Hybrid,0
2009,Afar,Total Chicks Hybrid,0
2010,Afar,Total Chicks Hybrid,0
2011,Afar,Total Chicks Hybrid,0
2012,Afar,Total Chicks Hybrid,0
2013,Afar,Total Chicks Hybrid,0
2014,Afar,Total Chicks Hybrid,0
2015,Afar,Total Chicks Hybrid,0
2016,Afar,Total Chicks Hybrid,0
2017,Afar,Total Chicks Hybrid,0
2018,Afar,Total Chicks Hybrid,0
2019,Afar,Total Chicks Hybrid,0
2020,Afar,Total Chicks Hybrid,0
2003,Amhara,Total Chicks Hybrid,0
2004,Amhara,Total Chicks Hybrid,0
2005,Amhara,Total Chicks Hybrid,137875
2006,Amhara,Total Chicks Hybrid,116172
2007,Amhara,Total Chicks Hybrid,82611
2008,Amhara,Total Chicks Hybrid,139943
2009,Amhara,Total Chicks Hybrid,92301
2010,Amhara,Total Chicks Hybrid,133828
2011,Amhara,Total Chicks Hybrid,151283
2012,Amhara,Total Chicks Hybrid,142238
2013,Amhara,Total Chicks Hybrid,120876
2014,Amhara,Total Chicks Hybrid,179335
2015,Amhara,Total Chicks Hybrid,219226
2016,Amhara,Total Chicks Hybrid,422718
2017,Amhara,Total Chicks Hybrid,270851
2018,Amhara,Total Chicks Hybrid,491981
2019,Amhara,Total Chicks Hybrid,234742
2020,Amhara,Total Chicks Hybrid,376417
2003,Benishangul Gumz,Total Chicks Hybrid,0
2004,Benishangul Gumz,Total Chicks Hybrid,0
2005,Benishangul Gumz,Total Chicks Hybrid,3726
2006,Benishangul Gumz,Total Chicks Hybrid,4371
2007,Benishangul Gumz,Total Chicks Hybrid,475
2008,Benishangul Gumz,Total Chicks Hybrid,516
2009,Benishangul Gumz,Total Chicks Hybrid,0
2010,Benishangul Gumz,Total Chicks Hybrid,1901
2011,Benishangul Gumz,Total Chicks Hybrid,0
2012,Benishangul Gumz,Total Chicks Hybrid,6818
2013,Benishangul Gumz,Total Chicks Hybrid,0
2014,Benishangul Gumz,Total Chicks Hybrid,0
2015,Benishangul Gumz,Total Chicks Hybrid,14891
2016,Benishangul Gumz,Total Chicks Hybrid,7360
2017,Benishangul Gumz,Total Chicks Hybrid,0
2018,Benishangul Gumz,Total Chicks Hybrid,0
2019,Benishangul Gumz,Total Chicks Hybrid,0
2020,Benishangul Gumz,Total Chicks Hybrid,0
2003,Dire Dawa,Total Chicks Hybrid,0
2004,Dire Dawa,Total Chicks Hybrid,0
2005,Dire Dawa,Total Chicks Hybrid,774
2006,Dire Dawa,Total Chicks Hybrid,0
2007,Dire Dawa,Total Chicks Hybrid,0
2008,Dire Dawa,Total Chicks Hybrid,0
2009,Dire Dawa,Total Chicks Hybrid,0
2010,Dire Dawa,Total Chicks Hybrid,0
2011,Dire Dawa,Total Chicks Hybrid,441
2012,Dire Dawa,Total Chicks Hybrid,1915
2013,Dire Dawa,Total Chicks Hybrid,0
2014,Dire Dawa,Total Chicks Hybrid,0
2015,Dire Dawa,Total Chicks Hybrid,0
2016,Dire Dawa,Total Chicks Hybrid,0
2017,Dire Dawa,Total Chicks Hybrid,0
2018,Dire Dawa,Total Chicks Hybrid,0
2019,Dire Dawa,Total Chicks Hybrid,0
2019,Dire Dawa,Total Chicks Hybrid,0
2020,Dire Dawa,Total Chicks Hybrid,0
2003,Gambela,Total Chicks Hybrid,0
2004,Gambela,Total Chicks Hybrid,0
2005,Gambela,Total Chicks Hybrid,0
2006,Gambela,Total Chicks Hybrid,0
2007,Gambela,Total Chicks Hybrid,0
2008,Gambela,Total Chicks Hybrid,0
2009,Gambela,Total Chicks Hybrid,0
2010,Gambela,Total Chicks Hybrid,21663
2011,Gambela,Total Chicks Hybrid,0
2012,Gambela,Total Chicks Hybrid,0
2013,Gambela,Total Chicks Hybrid,0
2014,Gambela,Total Chicks Hybrid,0
2015,Gambela,Total Chicks Hybrid,0
2016,Gambela,Total Chicks Hybrid,0
2017,Gambela,Total Chicks Hybrid,0
2018,Gambela,Total Chicks Hybrid,0
2019,Gambela,Total Chicks Hybrid,1796
2020,Gambela,Total Chicks Hybrid,1448
2003,Harari,Total Chicks Hybrid,0
2004,Harari,Total Chicks Hybrid,0
2005,Harari,Total Chicks Hybrid,0
2006,Harari,Total Chicks Hybrid,0
2007,Harari,Total Chicks Hybrid,0
2008,Harari,Total Chicks Hybrid,0
2009,Harari,Total Chicks Hybrid,0
2010,Harari,Total Chicks Hybrid,0
2011,Harari,Total Chicks Hybrid,0
2012,Harari,Total Chicks Hybrid,0
2013,Harari,Total Chicks Hybrid,0
2014,Harari,Total Chicks Hybrid,0
2015,Harari,Total Chicks Hybrid,0
2016,Harari,Total Chicks Hybrid,0
2017,Harari,Total Chicks Hybrid,0
2018,Harari,Total Chicks Hybrid,0
2019,Harari,Total Chicks Hybrid,0
2019,Harari,Total Chicks Hybrid,0
2020,Harari,Total Chicks Hybrid,0
2003,Oromoa,Total Chicks Hybrid,0
2004,Oromoa,Total Chicks Hybrid,0
2005,Oromoa,Total Chicks Hybrid,142047
2006,Oromoa,Total Chicks Hybrid,153689
2007,Oromoa,Total Chicks Hybrid,77393
2008,Oromoa,Total Chicks Hybrid,98784
2009,Oromoa,Total Chicks Hybrid,95018
2010,Oromoa,Total Chicks Hybrid,99402
2011,Oromoa,Total Chicks Hybrid,104228
2012,Oromoa,Total Chicks Hybrid,107561
2013,Oromoa,Total Chicks Hybrid,74411
2014,Oromoa,Total Chicks Hybrid,61041
2015,Oromoa,Total Chicks Hybrid,112618
2016,Oromoa,Total Chicks Hybrid,105238
2017,Oromoa,Total Chicks Hybrid,139587
2018,Oromoa,Total Chicks Hybrid,195433
2019,Oromoa,Total Chicks Hybrid,224038
2020,Oromoa,Total Chicks Hybrid,325841
2003,Somali,Total Chicks Hybrid,0
2004,Somali,Total Chicks Hybrid,0
2005,Somali,Total Chicks Hybrid,0
2006,Somali,Total Chicks Hybrid,0
2007,Somali,Total Chicks Hybrid,0
2008,Somali,Total Chicks Hybrid,0
2009,Somali,Total Chicks Hybrid,0
2010,Somali,Total Chicks Hybrid,0
2011,Somali,Total Chicks Hybrid,0
2012,Somali,Total Chicks Hybrid,0
2013,Somali,Total Chicks Hybrid,0
2014,Somali,Total Chicks Hybrid,0
2015,Somali,Total Chicks Hybrid,0
2016,Somali,Total Chicks Hybrid,0
2017,Somali,Total Chicks Hybrid,0
2018,Somali,Total Chicks Hybrid,0
2019,Somali,Total Chicks Hybrid,0
2020,Somali,Total Chicks Hybrid,0
2003,SNNPR,Total Chicks Hybrid,0
2004,SNNPR,Total Chicks Hybrid,0
2005,SNNPR,Total Chicks Hybrid,13075
2006,SNNPR,Total Chicks Hybrid,19081
2007,SNNPR,Total Chicks Hybrid,16191
2008,SNNPR,Total Chicks Hybrid,16653
2009,SNNPR,Total Chicks Hybrid,30613
2010,SNNPR,Total Chicks Hybrid,21663
2011,SNNPR,Total Chicks Hybrid,19451
2012,SNNPR,Total Chicks Hybrid,34967
2013,SNNPR,Total Chicks Hybrid,28254
2014,SNNPR,Total Chicks Hybrid,19763
2015,SNNPR,Total Chicks Hybrid,54586
2016,SNNPR,Total Chicks Hybrid,116916
2017,SNNPR,Total Chicks Hybrid,96671
2018,SNNPR,Total Chicks Hybrid,124764
2019,SNNPR,Total Chicks Hybrid,116860
2020,SNNPR,Total Chicks Hybrid,206489
2003,Tigray,Total Chicks Hybrid,0
2004,Tigray,Total Chicks Hybrid,0
2005,Tigray,Total Chicks Hybrid,125278
2006,Tigray,Total Chicks Hybrid,135307
2007,Tigray,Total Chicks Hybrid,128430
2008,Tigray,Total Chicks Hybrid,117157
2009,Tigray,Total Chicks Hybrid,119359
2010,Tigray,Total Chicks Hybrid,94281
2011,Tigray,Total Chicks Hybrid,143528
2012,Tigray,Total Chicks Hybrid,139320
2013,Tigray,Total Chicks Hybrid,127879
2014,Tigray,Total Chicks Hybrid,222515
2015,Tigray,Total Chicks Hybrid,208658
2016,Tigray,Total Chicks Hybrid,174504
2017,Tigray,Total Chicks Hybrid,173222
2018,Tigray,Total Chicks Hybrid,191032
2019,Tigray,Total Chicks Hybrid,225059
2020,Tigray,Total Chicks Hybrid,225059
2003,Addis Ababa,Total Laying Hens Hybrid,0
2004,Addis Ababa,Total Laying Hens Hybrid,0
2005,Addis Ababa,Total Laying Hens Hybrid,623
2006,Addis Ababa,Total Laying Hens Hybrid,957
2007,Addis Ababa,Total Laying Hens Hybrid,0
2008,Addis Ababa,Total Laying Hens Hybrid,0
2009,Addis Ababa,Total Laying Hens Hybrid,0
2010,Addis Ababa,Total Laying Hens Hybrid,0
2011,Addis Ababa,Total Laying Hens Hybrid,0
2012,Addis Ababa,Total Laying Hens Hybrid,0
2013,Addis Ababa,Total Laying Hens Hybrid,0
2014,Addis Ababa,Total Laying Hens Hybrid,0
2015,Addis Ababa,Total Laying Hens Hybrid,0
2016,Addis Ababa,Total Laying Hens Hybrid,0
2017,Addis Ababa,Total Laying Hens Hybrid,0
2018,Addis Ababa,Total Laying Hens Hybrid,0
2010,Addis Ababa,Total Laying Hens Hybrid,0
2020,Addis Ababa,Total Laying Hens Hybrid,0
2003,Afar,Total Laying Hens Hybrid,0
2004,Afar,Total Laying Hens Hybrid,0
2005,Afar,Total Laying Hens Hybrid,0
2006,Afar,Total Laying Hens Hybrid,0
2007,Afar,Total Laying Hens Hybrid,0
2008,Afar,Total Laying Hens Hybrid,469
2009,Afar,Total Laying Hens Hybrid,0
2010,Afar,Total Laying Hens Hybrid,0
2011,Afar,Total Laying Hens Hybrid,0
2012,Afar,Total Laying Hens Hybrid,0
2013,Afar,Total Laying Hens Hybrid,0
2014,Afar,Total Laying Hens Hybrid,0
2015,Afar,Total Laying Hens Hybrid,0
2016,Afar,Total Laying Hens Hybrid,0
2017,Afar,Total Laying Hens Hybrid,0
2018,Afar,Total Laying Hens Hybrid,0
2019,Afar,Total Laying Hens Hybrid,0
2020,Afar,Total Laying Hens Hybrid,0
2003,Amhara,Total Laying Hens Hybrid,0
2004,Amhara,Total Laying Hens Hybrid,0
2005,Amhara,Total Laying Hens Hybrid,153217
2006,Amhara,Total Laying Hens Hybrid,137257
2007,Amhara,Total Laying Hens Hybrid,131616
2008,Amhara,Total Laying Hens Hybrid,145523
2009,Amhara,Total Laying Hens Hybrid,168196
2010,Amhara,Total Laying Hens Hybrid,158498
2011,Amhara,Total Laying Hens Hybrid,172777
2012,Amhara,Total Laying Hens Hybrid,189173
2013,Amhara,Total Laying Hens Hybrid,162287
2014,Amhara,Total Laying Hens Hybrid,197283
2015,Amhara,Total Laying Hens Hybrid,267783
2016,Amhara,Total Laying Hens Hybrid,350752
2017,Amhara,Total Laying Hens Hybrid,382985
2018,Amhara,Total Laying Hens Hybrid,446479
2019,Amhara,Total Laying Hens Hybrid,636929
2020,Amhara,Total Laying Hens Hybrid,718171
2003,Benishangul Gumz,Total Laying Hens Hybrid,0
2004,Benishangul Gumz,Total Laying Hens Hybrid,0
2005,Benishangul Gumz,Total Laying Hens Hybrid,2851
2006,Benishangul Gumz,Total Laying Hens Hybrid,1657
2007,Benishangul Gumz,Total Laying Hens Hybrid,820
2008,Benishangul Gumz,Total Laying Hens Hybrid,660
2009,Benishangul Gumz,Total Laying Hens Hybrid,0
2010,Benishangul Gumz,Total Laying Hens Hybrid,0
2011,Benishangul Gumz,Total Laying Hens Hybrid,3327
2012,Benishangul Gumz,Total Laying Hens Hybrid,1556
2013,Benishangul Gumz,Total Laying Hens Hybrid,592
2014,Benishangul Gumz,Total Laying Hens Hybrid,0
2015,Benishangul Gumz,Total Laying Hens Hybrid,4586
2016,Benishangul Gumz,Total Laying Hens Hybrid,5224
2017,Benishangul Gumz,Total Laying Hens Hybrid,3663
2018,Benishangul Gumz,Total Laying Hens Hybrid,3901
2019,Benishangul Gumz,Total Laying Hens Hybrid,4057
2020,Benishangul Gumz,Total Laying Hens Hybrid,4271
2003,Dire Dawa,Total Laying Hens Hybrid,0
2004,Dire Dawa,Total Laying Hens Hybrid,0
2005,Dire Dawa,Total Laying Hens Hybrid,1915
2006,Dire Dawa,Total Laying Hens Hybrid,1153
2007,Dire Dawa,Total Laying Hens Hybrid,1050
2008,Dire Dawa,Total Laying Hens Hybrid,806
2009,Dire Dawa,Total Laying Hens Hybrid,1329
2010,Dire Dawa,Total Laying Hens Hybrid,1213
2011,Dire Dawa,Total Laying Hens Hybrid,2374
2012,Dire Dawa,Total Laying Hens Hybrid,2707
2013,Dire Dawa,Total Laying Hens Hybrid,2181
2014,Dire Dawa,Total Laying Hens Hybrid,1857
2015,Dire Dawa,Total Laying Hens Hybrid,1156
2016,Dire Dawa,Total Laying Hens Hybrid,1462
2017,Dire Dawa,Total Laying Hens Hybrid,0
2018,Dire Dawa,Total Laying Hens Hybrid,0
2019,Dire Dawa,Total Laying Hens Hybrid,2982
2019,Dire Dawa,Total Laying Hens Hybrid,2982
2020,Dire Dawa,Total Laying Hens Hybrid,4703
2003,Gambela,Total Laying Hens Hybrid,0
2004,Gambela,Total Laying Hens Hybrid,0
2005,Gambela,Total Laying Hens Hybrid,0
2006,Gambela,Total Laying Hens Hybrid,0
2007,Gambela,Total Laying Hens Hybrid,0
2008,Gambela,Total Laying Hens Hybrid,0
2009,Gambela,Total Laying Hens Hybrid,0
2010,Gambela,Total Laying Hens Hybrid,32122
2011,Gambela,Total Laying Hens Hybrid,0
2012,Gambela,Total Laying Hens Hybrid,0
2013,Gambela,Total Laying Hens Hybrid,0
